A  -  1449 ocorrências
ABANDON  -  2 ocorrências
ABANDONED  -  3 ocorrências
ABBEY  -  1 ocorrências
ABHOR  -  5 ocorrências
ABHORRED  -  12 ocorrências
ABHORRENCE  -  6 ocorrências
ABHORRENT  -  1 ocorrências
ABIDE  -  1 ocorrências
ABILITY  -  2 ocorrências
ABJECT  -  2 ocorrências
ABLE  -  9 ocorrências
ABOARD  -  1 ocorrências
ABODE  -  6 ocorrências
ABORTION  -  1 ocorrências
ABORTIVE  -  1 ocorrências
ABOUT  -  61 ocorrências
ABOVE  -  13 ocorrências
ABROAD  -  3 ocorrências
ABRUPT  -  1 ocorrências
ABSENCE  -  8 ocorrências
ABSENT  -  6 ocorrências
ABSOLUTE  -  1 ocorrências
ABSOLUTELY  -  2 ocorrências
ABSOLUTION  -  1 ocorrências
ABSORBED  -  2 ocorrências
ABSORBING  -  1 ocorrências
ABSTAINED  -  1 ocorrências
ABSTRUSE  -  1 ocorrências
ABYSS  -  1 ocorrências
ACCEDED  -  1 ocorrências
ACCENT  -  4 ocorrências
ACCENTS  -  6 ocorrências
ACCEPT  -  4 ocorrências
ACCEPTANCE  -  1 ocorrências
ACCEPTED  -  2 ocorrências
ACCEPTING  -  1 ocorrências
ACCESS  -  12 ocorrências
ACCESSED  -  1 ocorrências
ACCESSIBLE  -  1 ocorrências
ACCIDENT  -  6 ocorrências
ACCIDENTALLY  -  1 ocorrências
ACCIDENTS  -  5 ocorrências
ACCOMPANIED  -  9 ocorrências
ACCOMPANY  -  6 ocorrências
ACCOMPLISH  -  2 ocorrências
ACCOMPLISHED  -  2 ocorrências
ACCOMPLISHMENT  -  1 ocorrências
ACCOMPLISHMENTS  -  1 ocorrências
ACCORDANCE  -  2 ocorrências
ACCORDED  -  2 ocorrências
ACCORDING  -  3 ocorrências
ACCORDINGLY  -  11 ocorrências
ACCOUNT  -  21 ocorrências
ACCOUNTED  -  1 ocorrências
ACCOUNTS  -  3 ocorrências
ACCUMULATED  -  4 ocorrências
ACCUMULATION  -  2 ocorrências
ACCURACY  -  2 ocorrências
ACCURATE  -  1 ocorrências
ACCURSED  -  4 ocorrências
ACCUSATION  -  1 ocorrências
ACCUSATIONS  -  1 ocorrências
ACCUSE  -  2 ocorrências
ACCUSED  -  7 ocorrências
ACCUSES  -  1 ocorrências
ACCUSTOMED  -  10 ocorrências
ACHIEVE  -  1 ocorrências
ACHIEVED  -  1 ocorrências
ACHIEVEMENTS  -  1 ocorrências
ACHING  -  1 ocorrências
ACKNOWLEDGED  -  1 ocorrências
ACME  -  1 ocorrências
ACORNS  -  2 ocorrências
ACQUAINTANCE  -  1 ocorrências
ACQUAINTANCES  -  1 ocorrências
ACQUAINTED  -  20 ocorrências
ACQUIESCED  -  1 ocorrências
ACQUIRE  -  2 ocorrências
ACQUIRED  -  3 ocorrências
ACQUIREMENT  -  2 ocorrências
ACQUIRING  -  1 ocorrências
ACQUISITION  -  1 ocorrências
ACQUIT  -  1 ocorrências
ACQUITTAL  -  1 ocorrências
ACQUITTED  -  2 ocorrências
ACROSS  -  17 ocorrências
ACT  -  11 ocorrências
ACTED  -  4 ocorrências
ACTING  -  1 ocorrências
ACTION  -  5 ocorrências
ACTIONS  -  4 ocorrências
ACTIVE  -  5 ocorrências
ACTIVITY  -  3 ocorrências
ACTOR  -  1 ocorrências
ACTS  -  1 ocorrências
ACTUAL  -  3 ocorrências
ACTUALLY  -  2 ocorrências
ACTUATED  -  1 ocorrências
ACUTENESS  -  1 ocorrências
ADAM  -  3 ocorrências
ADAPT  -  1 ocorrências
ADD  -  4 ocorrências
ADDED  -  7 ocorrências
ADDITION  -  1 ocorrências
ADDITIONAL  -  8 ocorrências
ADDITIONS  -  1 ocorrências
ADDRESS  -  4 ocorrências
ADDRESSED  -  13 ocorrências
ADDRESSES  -  1 ocorrências
ADDUCED  -  2 ocorrências
ADEQUATE  -  2 ocorrências
ADIEU  -  2 ocorrências
ADJACENT  -  1 ocorrências
ADJURATION  -  1 ocorrências
ADMIRABLE  -  3 ocorrências
ADMIRATION  -  14 ocorrências
ADMIRE  -  4 ocorrências
ADMIRED  -  3 ocorrências
ADMISSION  -  1 ocorrências
ADMIT  -  1 ocorrências
ADMITTANCE  -  1 ocorrências
ADOPTED  -  1 ocorrências
ADORATION  -  1 ocorrências
ADORED  -  3 ocorrências
ADORNED  -  1 ocorrências
ADORNS  -  1 ocorrências
ADRIFT  -  1 ocorrências
ADVANCE  -  2 ocorrências
ADVANCED  -  13 ocorrências
ADVANCEMENT  -  1 ocorrências
ADVANCING  -  4 ocorrências
ADVANTAGE  -  4 ocorrências
ADVANTAGES  -  2 ocorrências
ADVENTURE  -  1 ocorrências
ADVENTURER  -  1 ocorrências
ADVENTUROUS  -  2 ocorrências
ADVERSARY  -  7 ocorrências
ADVERSITY  -  2 ocorrências
ADVICE  -  2 ocorrências
ADVISE  -  1 ocorrências
ADVOCATE  -  1 ocorrências
AERIAL  -  2 ocorrências
AFFABILITY  -  1 ocorrências
AFFAIR  -  1 ocorrências
AFFAIRS  -  2 ocorrências
AFFECTATION  -  1 ocorrências
AFFECTED  -  3 ocorrências
AFFECTING  -  2 ocorrências
AFFECTION  -  40 ocorrências
AFFECTIONATE  -  7 ocorrências
AFFECTIONATELY  -  1 ocorrências
AFFECTIONS  -  8 ocorrências
AFFIRM  -  1 ocorrências
AFFIRMATIVE  -  2 ocorrências
AFFLICTED  -  2 ocorrências
AFFLUENCE  -  1 ocorrências
AFFORD  -  10 ocorrências
AFFORDED  -  5 ocorrências
AFFORDING  -  3 ocorrências
AFFORDS  -  1 ocorrências
AFFRIGHT  -  2 ocorrências
AFRAID  -  1 ocorrências
AFRICA  -  1 ocorrências
AFTER  -  78 ocorrências
AFTERNOON  -  2 ocorrências
AFTERWARDS  -  17 ocorrências
AGAIN  -  83 ocorrências
AGAINST  -  21 ocorrências
AGATHA  -  22 ocorrências
AGE  -  12 ocorrências
AGED  -  4 ocorrências
AGENT  -  1 ocorrências
AGENTS  -  1 ocorrências
AGES  -  4 ocorrências
AGGRAVATION  -  1 ocorrências
AGILE  -  1 ocorrências
AGITATED  -  7 ocorrências
AGITATES  -  2 ocorrências
AGITATION  -  14 ocorrências
AGO  -  7 ocorrências
AGONIES  -  4 ocorrências
AGONISED  -  1 ocorrências
AGONISING  -  2 ocorrências
AGONY  -  26 ocorrências
AGREE  -  10 ocorrências
AGREEABLE  -  5 ocorrências
AGREED  -  6 ocorrências
