A  -  10584 ocorrências
AAH  -  1 ocorrências
AB  -  1 ocorrências
ABACK  -  3 ocorrências
ABACUS  -  1 ocorrências
ABANDON  -  25 ocorrências
ABANDONED  -  54 ocorrências
ABANDONING  -  26 ocorrências
ABANDONMENT  -  14 ocorrências
ABANDONS  -  1 ocorrências
ABASEMENT  -  1 ocorrências
ABASHED  -  13 ocorrências
ABATE  -  2 ocorrências
ABB  -  19 ocorrências
ABBREVIATIONS  -  1 ocorrências
ABC  -  1 ocorrências
ABDICATE  -  1 ocorrências
ABDOMEN  -  2 ocorrências
ABDOMENS  -  2 ocorrências
ABDUCTION  -  3 ocorrências
ABDUCTORS  -  1 ocorrências
ABHORRENCE  -  1 ocorrências
ABIDE  -  1 ocorrências
ABILITY  -  4 ocorrências
ABLAZE  -  2 ocorrências
ABLE  -  107 ocorrências
ABNEGATION  -  2 ocorrências
ABNORMAL  -  1 ocorrências
ABNORMALLY  -  1 ocorrências
ABODES  -  1 ocorrências
ABOLISHING  -  1 ocorrências
ABOLITION  -  1 ocorrências
ABOMINABLE  -  7 ocorrências
ABOMINABLY  -  1 ocorrências
ABOUNDING  -  1 ocorrências
ABOUT  -  1019 ocorrências
ABOVE  -  146 ocorrências
ABOVEBOARD  -  1 ocorrências
ABR  -  1 ocorrências
ABREAST  -  5 ocorrências
ABROAD  -  33 ocorrências
ABRUPT  -  6 ocorrências
ABRUPTLY  -  10 ocorrências
ABSENCE  -  48 ocorrências
ABSENT  -  36 ocorrências
ABSENTEES  -  1 ocorrências
ABSENTLY  -  6 ocorrências
ABSOLUTE  -  16 ocorrências
ABSOLUTELY  -  21 ocorrências
ABSOLVED  -  1 ocorrências
ABSORB  -  1 ocorrências
ABSORBED  -  32 ocorrências
ABSORPTION  -  2 ocorrências
ABSTAIN  -  2 ocorrências
ABSTAINED  -  2 ocorrências
ABSTAINING  -  2 ocorrências
ABSTEMIOUS  -  1 ocorrências
ABSTENTION  -  1 ocorrências
ABSTIENS  -  1 ocorrências
ABSTRACT  -  9 ocorrências
ABSTRACTION  -  6 ocorrências
ABSURD  -  13 ocorrências
ABSURDITY  -  4 ocorrências
ABSURDLY  -  1 ocorrências
ABUNDANCE  -  4 ocorrências
ABUNDANT  -  2 ocorrências
ABUNDANTLY  -  1 ocorrências
ABUSE  -  10 ocorrências
ABUSED  -  5 ocorrências
ABUSES  -  2 ocorrências
ABUSING  -  3 ocorrências
ABYSS  -  3 ocorrências
ACADEMY  -  1 ocorrências
ACCELERATE  -  1 ocorrências
ACCENT  -  11 ocorrências
ACCENTS  -  1 ocorrências
ACCENTUATED  -  1 ocorrências
ACCENTUATING  -  2 ocorrências
ACCEPT  -  24 ocorrências
ACCEPTANCE  -  1 ocorrências
ACCEPTED  -  36 ocorrências
ACCEPTING  -  4 ocorrências
ACCEPTS  -  2 ocorrências
ACCESS  -  11 ocorrências
ACCESSED  -  1 ocorrências
ACCESSIBLE  -  4 ocorrências
ACCIDENT  -  5 ocorrências
ACCIDENTAL  -  2 ocorrências
ACCIDENTALLY  -  6 ocorrências
ACCIDENTLY  -  1 ocorrências
ACCIDENTS  -  2 ocorrências
ACCLAIMED  -  1 ocorrências
ACCLAMATIONS  -  2 ocorrências
ACCOMMODATE  -  1 ocorrências
ACCOMMODATED  -  1 ocorrências
ACCOMMODATION  -  2 ocorrências
ACCOMPANIED  -  44 ocorrências
ACCOMPANIES  -  2 ocorrências
ACCOMPANIMENT  -  2 ocorrências
ACCOMPANY  -  9 ocorrências
ACCOMPANYING  -  9 ocorrências
ACCOMPLISH  -  4 ocorrências
ACCOMPLISHED  -  20 ocorrências
ACCOMPLISHING  -  1 ocorrências
